Отметка времени,Ваш возраст,Какой у вас профиль образования?,Есть ли у вас желание заниматься предпринимательской деятельностью?, Какие факторы мешают вам начать заниматься предпринимательской деятельностью?,"Известны ли вам какие-либо учреждения, занимающиеся поддержкой предпринимательства?","Есть ли в вашем городе платформы, позволяющие выстраивать связи и коммуникации?",Имели ли вы опыт в самоорганизации/организации совместного проекта?,Какие проблемы молодёжного предпринимательства есть в вашем регионе?,Занимаетесь ли вы предпринимательской деятельностью?," Считаете ли вы, что Дальний Восток является перспективным регионом для молодёжного предпринимательства?"
09.05.2022 18:59:50,21,IT направление,Да,отсутствие заинтересованных людей,Да,Да,Да,-,Да,Да
09.05.2022 19:00:56,20,IT направление,Да,Университет отнимает много времни,Да,Да,Да,Нехватка заинтересованных людей,Да,Да
09.05.2022 19:04:31,20,IT направление,Да,,Нет,Да,Нет,,Нет,Нет
09.05.2022 19:08:03,22,Другой,Да,,Да,Не знаю,Нет,,Да,Да
09.05.2022 19:09:07,18,IT направление,Нет,не знаю,Нет,Да,Нет,не знаю,Нет,Нет
09.05.2022 19:52:17,21,IT направление,Да,,Нет,Не знаю,Да,,Да,Нет
09.05.2022 22:20:33,20,IT направление,Да,,Нет,Не знаю,Да,,Нет,Да
09.05.2022 22:31:19,20,Другой,Да,,Нет,Да,Нет,,Нет,Да
09.05.2022 22:32:06,19,Другой,Да,Нет денег и навыков. ,Да,Да,Нет,Всякие разные ,Нет,Да
09.05.2022 22:44:15,20,Другой,Да,,Нет,Да,Да,,Нет,Да
09.05.2022 23:15:06,19,IT направление,Да,Отсутствие времени из-за учебы,Нет,Да,Нет,,Нет,Да
10.05.2022 0:21:55,20,Другой,Да,Отсутствие стартового капитала,Нет,Да,Да,,Нет,Да
10.05.2022 0:53:52,20,Другой,Нет,Нет желания,Нет,Да,Да,,Нет,Да
10.05.2022 9:00:34,20,IT направление,Да,Отсутствие стабильности для бизнеса ,Нет,Не знаю,Нет,Отсутствие молодежного предпринимательства ,Нет,Да
10.05.2022 12:21:07,18,Другой,Да,,Нет,Не знаю,Нет,,Нет,Нет
10.05.2022 13:03:40,21,IT направление,Нет,,Нет,Да,Нет,,Нет,Да
10.05.2022 14:36:27,20,IT направление,Да,,Да,Да,Нет,,Нет,Да
